t,x,y,z,vx,vy,vz,roll,pitch,yaw,p,q,r,mass,speed,airspeed,mach,q_dyn,rho,cd_eff,thrust,wind_x,wind_y,roll_ref,pitch_ref,yaw_ref,alpha_pitch_deg,beta_yaw_deg,gimbal_pitch_deg,gimbal_yaw_deg
16.599999999999735,-572.235525431162,-459.13098552689036,737.437592406902,-36.44268460666811,-1500.0,-1500.0,2.0186307093579634,-1.1077443140021108,0.5851887660594208,-0.640000000000005,-8.0,-2.7199999999999953,18.933333333334552,2133.6174639885753,2139.123054732391,6.341262822264724,2601984.0934839714,1.1372687248570106,14.03744616150335,850.0,0.0,7.82093122843839,0.0,0.36105177701997027,0.28463132962476845,89.99999999995052,89.99999999990781,6.0,-2.4000000000000004
16.619999999999735,-572.9643791232954,-489.13098552689036,707.437592406902,-367.6216885553673,-1500.0,-1500.0,2.1386307093579635,-0.9894265447544326,0.4651887660594207,-0.800000000000005,-8.0,-2.9599999999999955,18.92000000000122,2121.6333493941265,2127.174919806543,6.303673364849608,2580547.807782349,1.1406055941244575,14.03744616150287,850.0,0.0,7.8279312284383895,0.0,0.3736565885380787,0.29951723922347906,89.99999999994648,89.99999999990872,6.0,-2.4000000000000004
16.639999999999734,-580.3168128944028,-519.1309855268903,677.437592406902,-790.9243099945386,-1500.0,-1500.0,2.2586307093579636,-0.8694265447544325,0.3451887660594206,-0.9600000000000051,-8.0,-3.1999999999999957,18.90666666666789,2152.938853264602,2158.4049401650673,6.394020718393945,2664666.6107540834,1.1439499484468043,14.037446161502661,850.0,0.0,7.834931228438389,0.0,0.3869575921792288,0.3131775499463858,89.99999999994203,89.99999999991181,6.0,-2.4000000000000004
16.659999999999734,-596.1352990942936,-549.1309855268903,647.437592406902,-1346.503363501736,-1500.0,-1500.0,2.3376843600244204,-0.7494265447544324,0.2251887660594205,-1.120000000000005,-8.0,-3.439999999999996,18.893333333334557,2263.9702436516995,2269.173539796162,6.7198494226878385,2953813.70065201,1.147301799449218,14.037446161503125,850.0,0.0,7.84193122843839,0.0,0.4009903898327052,0.3252288092653406,89.99999999993602,89.99999999992082,-6.0,-2.4000000000000004
16.679999999999733,-623.0653663643283,-579.1309855268903,617.437592406902,-1500.0,-1500.0,-1500.0,2.378068431307968,-0.6294265447544323,0.13302447525634475,-1.280000000000005,-8.0,-3.679999999999996,18.880000000001225,2512.582597233669,2517.2762477185997,7.452011721438682,3645685.607384539,1.1506611587669116,14.037446161503821,850.0,0.0,7.848931228438389,0.0,0.4157962204979044,0.33519715810265893,89.99999999993048,89.99999999993094,-6.0,2.4000000000000004
16.699999999999733,-653.0653663643283,-609.1309855268903,587.437592406902,-1500.0,-1472.6751613517768,-1500.0,2.3943176929239236,-0.5094265447544322,0.06193463075275352,-1.4400000000000048,-8.0,-3.9199999999999964,18.866666666667893,2598.076211353316,2602.619739674004,7.702013823210235,3908479.1865546047,1.1540280380451406,14.037446161505544,850.0,0.0,7.85593122843839,0.0,0.4314257879125847,0.34248863489597214,89.99999999994566,89.99999999992694,-6.0,2.4000000000000004
16.719999999999732,-683.0653663643283,-638.5844887539258,557.437592406902,-1500.0,-1386.8460329780453,-1500.0,2.3941367327205647,-0.38942654475443206,0.0032501773522910504,-1.6000000000000048,-8.0,-4.159999999999997,18.85333333333456,2582.3965866734106,2586.888680167947,7.6528348281993095,3872664.5684624505,1.1574024489392134,14.03744616150502,850.0,0.0,7.86293122843839,0.0,0.4470029426042605,0.3488078306207365,89.99999999995704,89.99999999991218,-6.0,2.4000000000000004
16.739999999999732,-713.0653663643283,-666.3214094134868,527.437592406902,-1500.0,-1250.0257680064328,-1500.0,2.381729901144901,-0.26942654475443195,-0.04835724447568568,-1.7600000000000047,-8.0,-4.399999999999997,18.84000000000123,2534.4312812122052,2538.7462694827186,7.50784028437837,3740762.7503418764,1.160784403114485,14.037446161500462,850.0,0.0,7.869931228438389,0.0,0.4622204580839758,0.3490658503988659,89.9999999999629,89.99999999987661,-6.0,2.4000000000000004
16.75999999999973,-743.0653663643283,-691.3219247736155,497.437592406902,-1500.0,-1071.441655488995,-1500.0,2.3593477035294983,-0.14942654475443184,-0.09651211840066054,-1.9200000000000046,-8.0,-4.639999999999997,18.826666666667897,2462.2275322723676,2466.23583639975,7.290907031676733,3540438.669729714,1.164173912246364,14.037446161481801,850.0,0.0,7.87693122843839,0.0,0.4770441512826475,0.3490658503988659,89.99999999996602,89.99999999975195,-6.0,2.4000000000000004
16.77999999999973,-773.0653663643283,-712.7507578833954,467.437592406902,-1500.0,-915.738882293312,-1500.0,2.328016520118834,-0.029426544754431738,-0.1439949204390074,-2.0800000000000045,-8.0,-4.399999999999997,18.813333333334565,2376.54943586642,2380.1142245999313,7.033898343837744,3307111.9693709444,1.1675709880203125,14.037446161270244,850.0,0.0,7.88393122843839,0.0,0.49145847676498544,0.3490658503988659,89.99999999996753,-89.99999999837247,-6.0,2.4000000000000004
16.79999999999973,-803.0653663643283,-731.0655355292616,437.437592406902,-1500.0,-725.4899680792621,-1406.7468731317579,2.2880599427239003,0.09057345524556837,-0.1998512848853644,-2.2400000000000047,-8.0,-4.159999999999997,18.800000000001234,2310.5362365788174,2313.675005791916,6.8352133598013145,3134170.1900305864,1.1709756421318473,14.037446161489413,850.0,0.0,7.890931228438389,0.0,0.5054647985316952,0.3490658503988659,89.99999999996858,-89.99999999979897,-6.0,2.4000000000000004
16.81999999999973,-833.0653663643283,-745.5753348908469,409.30265494426686,-1500.0,-513.4920498009241,-1236.287025398472,2.2372758917614632,0.21057345524556847,-0.26601018903558593,-2.400000000000005,-8.0,-3.9199999999999964,18.7866666666679,2180.658721315563,2183.2990120267405,6.447843283652589,2799032.903186623,1.1743878862865411,14.037446161501716,850.0,0.0,7.89793122843839,0.0,0.5191073539781608,0.3490658503988659,89.99999999996756,-89.9999999998801,-6.0,2.4000000000000004
16.83999999999973,-863.0653663643283,-755.8451758868654,384.57691443629744,-1500.0,-294.446964080331,-1019.5337788906008,2.1727553843198244,0.3305734552455686,-0.3450478425477961,-2.560000000000005,-8.0,-3.679999999999996,18.77333333333457,2010.4924009747851,2012.5257680812279,5.941602058601249,2384782.74623743,1.1775949028236818,14.037446161505272,835.8333333335248,0.0,7.904496047179671,0.0,0.5316846978376151,0.3490658503988659,89.99999999996469,-89.99999999990618,-6.0,2.4000000000000004
16.85999999999973,-893.0653663643283,-761.734115168472,364.1862388584854,-1500.0,-77.88135689810056,-781.6583128664734,2.090601887171279,0.4505734552455687,-0.44041100045279213,-2.720000000000005,-8.0,-3.439999999999996,18.760000000001238,1837.4297649039738,1838.7139583170315,5.426928193427536,1995420.7483621428,1.1804188427632154,14.037446161506367,821.6666666668585,0.0,7.91026538663153,0.0,0.5426446986723243,0.3490658503988659,89.99999999996021,-89.99999999991776,-6.0,2.4000000000000004
16.87999999999973,-923.0653663643283,-763.291742306434,348.5530726011559,-1500.0,134.22157355951558,-535.085089411779,1.9855554429416182,0.5705734552455688,-0.5567107881694033,-2.8800000000000052,-8.0,-3.1999999999999957,18.746666666667906,1693.2380883459805,1693.6206000498091,4.997528719705469,1696273.1659168126,1.182751568061265,14.037446161506434,807.5000000001921,0.0,7.91502321093302,0.0,0.5516897153925047,0.3490658503988659,89.99999999995444,-89.99999999992397,-6.0,2.4000000000000004
