t,x,z,vx,vz,theta,q,mass,gamma,gamma_ref,alpha,alpha_air,alpha_cmd,alpha_limit,gimbal_cmd,gimbal,speed,airspeed,mach,q_dyn,rho,cd_eff,thrust,wind_x
12.699999999999818,21.23619216385402,1560.352425094146,9.603277422973203,125.57428930735261,2.440080358789933,1.9025436540982366,21.533333333334266,1.4885166479673297,1.3679192545430814,0.8810711140247469,0.8810711140247469,-0.05235987755982988,0.04116722913473087,-0.10471975511965977,-0.028802345705306636,125.94899391776724,125.94899391776724,0.3767998700372753,8344.095969432676,1.0520100306934146,2.3964967061142817,850.0,0.0
12.719999999999818,21.428257712313485,1562.863910880293,8.805407127723894,125.5434056057546,2.4781312318718975,0.24442193937086887,21.520000000000934,1.494470021394627,1.3672909360123635,0.945610337395306,0.945610337395306,-0.05235987755982988,0.04117382319002167,-0.10471975511965977,-0.035085531012486224,125.94095867631499,125.94095867631499,0.3767868885957259,8340.94753994902,1.051747275420057,2.726595508460699,850.0,0.0
12.739999999999817,21.604365854867964,1565.374778992408,7.985297227273693,125.46972447761101,2.483019670659315,-1.393962596549006,21.506666666667602,1.5007726526417524,1.3666626174816456,0.9773585792301451,0.9773585792301451,-0.05235987755982988,0.041202900897762185,-0.10471975511965977,-0.04136871631966581,125.85182511897071,125.85182511897071,0.37653127628527466,8327.063957186965,1.0514844628157005,2.8975284653648807,850.0,0.0
12.759999999999817,21.76407179941344,1567.8841734819603,7.168793919844191,125.39762758227873,2.4551404187283348,-2.959769672933356,21.49333333333427,1.5072388270670125,1.3660342989509275,0.9757808435923023,0.9757808435923023,-0.05235987755982988,0.04124277673283534,-0.10471975511965977,-0.04765190162684539,125.72357269937696,125.72357269937696,0.37615860490324593,8308.024648401535,1.0512217650729982,2.888886339002011,850.0,0.0
12.779999999999816,21.907447677810325,1570.3921260336058,6.380768203074017,125.37049991291883,2.3959450252696675,-4.405058199408048,21.48000000000094,1.513689987830726,1.3654059804202097,0.9414504308976088,0.9414504308976088,-0.05235987755982988,0.04128064489217387,-0.10471975511965977,-0.053935086934024976,125.60237501547917,125.60237501547917,0.3758070135230013,8289.943934167984,1.0509592716755642,2.7045791986036094,850.0,0.0
12.799999999999816,22.035063041871805,1572.8995360318643,5.646043670185616,125.42529515929787,2.3078438612815066,-5.688051649479284,21.466666666667606,1.5199449118202122,1.3647776618894918,0.8760001134494553,0.8760001134494553,-0.05235987755982988,0.041304211302272666,-0.10471975511965977,-0.06021827224120456,125.53277042779125,125.53277042779125,0.37560976850772837,8278.69180219352,1.050696979215004,2.3715043337571773,850.0,0.0
12.819999999999816,22.147983915275518,1575.4080419350503,4.989988185929859,125.58796349699142,2.194082828291921,-6.773749700186379,21.453333333334275,1.525811504235918,1.364149343358774,0.7820323570455887,0.7820323570455887,-0.05235987755982988,0.04130314126374639,-0.10471975511965977,-0.06650145754838414,125.55230971560273,125.55230971560273,0.37567924732355645,8279.202707955787,1.0504347935637361,1.935262434516586,850.0,0.0
12.839999999999815,22.247783678994114,1577.91980120499,4.438331946601629,125.87006013751842,2.0586078342881935,-7.634065542419462,21.440000000000943,1.5310842030133982,1.3635210248280558,0.6629986252785229,0.6629986252785229,-0.05235987755982988,0.04127023970066418,-0.10471975511965977,-0.07278464285556373,125.6870580346973,125.6870580346973,0.37609347542079913,8294.912047155736,1.0501725434074072,1.4536569122913505,850.0,0.0
12.859999999999815,22.336550317926147,1580.4372024077404,4.015983871698728,126.26686566674218,1.9059265234398042,-8.24773784613516,21.42666666666761,1.5355497094444506,1.362892706297338,0.5230581248437429,0.5230581248437429,-0.05235987755982988,0.04120231044393724,-0.10471975511965977,-0.07906782816274331,125.94828633010744,125.94828633010744,0.3768862197140052,8327.345878121689,1.049910003319225,0.9889497097005084,850.0,0.0
12.879999999999814,22.41686999536012,1582.9625397210752,3.735279003393414,126.75483864107066,1.740971766517101,-8.576131962143663,21.41333333333428,1.5390015206625876,1.36226438776662,0.3669250027772166,0.3669250027772166,-0.05235987755982988,0.04110063247322251,0.10471975511965977,-0.07278464285556373,126.33071475995399,126.33071475995399,0.3780417244121602,8375.893533050097,1.0496469238959893,0.5999167426997737,850.0,0.0
