rank,score,kp,ki,kd,guidance_gain,guidance_altitude_gain,gamma_final_deg,peak_altitude,downrange,impact_error,final_speed,flight_time,landed,mean_alpha_deg,max_alpha_deg,mean_gimbal_deg,max_gimbal_deg,saturation_ratio,mean_gamma_error_deg
1035,6279.5073,4.8,0.35,0.75,0.51,0.00011,74.0,3377.359558,1060.449937,260.449937,213.626902,58.860000,1.000000,9.820129,116.236905,0.403393,5.675661,0.000000,0.860823
1036,6279.9732,5.1,0.27,0.9,0.51,9e-05,74.0,3374.909979,1059.127512,259.127512,213.550952,58.820000,1.000000,9.819151,115.487489,0.432385,5.692048,0.000000,0.916742
1037,6280.5325,4.8,0.35,0.75,0.51,0.0001,74.0,3377.359558,1060.449937,260.449937,213.626902,58.860000,1.000000,9.820129,116.236905,0.403393,5.675661,0.000000,0.873639
1038,6281.2437,2.9,0.62,1.3,0.38,0.00011,75.0,3433.571237,476.029154,323.970846,214.497227,59.460000,1.000000,12.767623,119.267137,0.282991,4.406092,0.000000,1.150551
1039,6281.8304,4.8,0.35,0.75,0.51,9e-05,74.0,3377.359558,1060.449937,260.449937,213.626902,58.860000,1.000000,9.820129,116.236905,0.403393,5.675661,0.000000,0.889862
1040,6282.2557,2.9,0.62,1.3,0.38,0.0001,75.0,3433.571237,476.029154,323.970846,214.497227,59.460000,1.000000,12.767623,119.267137,0.282991,4.406092,0.000000,1.163202
1041,6283.5423,2.9,0.62,1.3,0.38,9e-05,75.0,3433.571237,476.029154,323.970846,214.497227,59.460000,1.000000,12.767623,119.267137,0.282991,4.406092,0.000000,1.179283
1042,6288.1348,2.9,0.62,1.45,0.32,0.00011,73.0,3425.632219,451.154805,348.845195,214.319481,59.440000,1.000000,12.790749,112.428218,0.263385,4.203317,0.000000,1.612555
1043,6289.1296,2.9,0.62,1.45,0.32,0.0001,73.0,3425.632219,451.154805,348.845195,214.319481,59.440000,1.000000,12.790749,112.428218,0.263385,4.203317,0.000000,1.624989
1044,6289.6006,3.2,0.62,1.3,0.38,0.00011,74.0,3427.457710,460.844882,339.155118,214.308223,59.420000,1.000000,12.764651,115.778841,0.256049,3.959906,0.000000,1.392596
1045,6290.3881,2.9,0.62,1.45,0.32,9e-05,73.0,3425.632219,451.154805,348.845195,214.319481,59.440000,1.000000,12.790749,112.428218,0.263385,4.203317,0.000000,1.640721
1046,6290.6032,3.2,0.62,1.3,0.38,0.0001,74.0,3427.457710,460.844882,339.155118,214.308223,59.420000,1.000000,12.764651,115.778841,0.256049,3.959906,0.000000,1.405128
1047,6291.8751,3.2,0.62,1.3,0.38,9e-05,74.0,3427.457710,460.844882,339.155118,214.308223,59.420000,1.000000,12.764651,115.778841,0.256049,3.959906,0.000000,1.421027
1048,6294.1863,4.5,0.35,0.75,0.51,9e-05,73.0,3373.175546,1133.185944,333.185944,213.625631,58.840000,1.000000,9.529582,114.029456,0.380560,5.439953,0.000000,1.142339
1049,6296.8939,4.8,0.43,0.75,0.51,0.00011,74.0,3377.036763,1063.915347,263.915347,213.635272,58.860000,1.000000,9.810256,116.241494,0.404236,5.681558,0.000000,0.857871
1050,6297.9192,4.8,0.43,0.75,0.51,0.0001,74.0,3377.036763,1063.915347,263.915347,213.635272,58.860000,1.000000,9.810256,116.241494,0.404236,5.681558,0.000000,0.870687
1051,6299.2172,4.8,0.43,0.75,0.51,9e-05,74.0,3377.036763,1063.915347,263.915347,213.635272,58.860000,1.000000,9.810256,116.241494,0.404236,5.681558,0.000000,0.886912
1052,6299.6251,2.9,0.7,1.45,0.38,0.00011,74.0,3372.912425,1083.971225,283.971225,213.530914,58.740000,1.000000,9.666834,116.623020,0.407775,5.606693,0.000000,0.944160
