t,east_m,north_m,up_m,ve_m_s,vn_m_s,vu_m_s,mass_kg,pitch_deg,ground_distance_m,speed_m_s,target_east_m,target_north_m,target_up_m,target_surface_distance_m,phase,desired_pitch_deg,remaining_ground_m,q_dyn,mach,cd_eff,azimuth_deg,line_of_sight_elevation_deg
18.439999999999696,-750.8016386462648,5743.1402332405905,47.52556619614934,-77.24825555598876,590.898503140151,-58.934443519898444,30.353684210524616,2.3968449231360855,5792.008532388458,598.833534993419,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,2.3968449231360855,14226.096949769393,218645.2761279971,1.760706343809469,0.22040540657086358,352.5519519239,0.015892004537414336
18.459999999999695,-752.3466037573845,5754.958203303394,46.34687732575137,-77.31106524728497,591.3789560941044,-59.03030540674426,30.34105263157725,2.4011439097986647,5803.927061391649,599.3251600567393,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,2.4011439097986647,14214.178420766202,219029.2360707847,1.7621283817784172,0.22039643784789276,352.5519519239,0.015892004537414336
18.479999999999695,-753.8928250623302,5766.785782425276,45.16627121761648,-77.37377471903503,591.858642434244,-59.12590455599915,30.32842105262988,2.4054578623563065,5815.855281217267,599.8159936413361,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,2.4054578623563065,14202.250200940583,219413.0357161688,1.763548016971319,0.22038766603582194,352.5519519239,0.015892004537414336
18.499999999999694,-755.4403005567109,5778.6229552739605,43.9837531264965,-77.43638388321355,592.3375614872332,-59.221240568379976,30.315789473682514,2.4097868077871505,5827.793176402572,600.3060349788332,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,2.4097868077871505,14190.31230575528,219796.67309171797,1.764965247239936,0.22037908693793934,352.5519519239,0.015892004537414336
18.519999999999694,-756.9890282343752,5790.469706503705,42.7993283151289,-77.4988926533838,592.8157125918877,-59.31631304572981,30.303157894735147,2.414130773169945,5839.740731471246,600.7952833134323,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,2.414130773169945,14178.364750686604,220180.14623259992,1.7663800704739336,0.2203706964417463,352.5519519239,0.015892004537414336
18.539999999999694,-758.5390060874429,5802.326020755543,41.613002054214306,-77.56130094467927,593.2930950990344,-59.411121591006285,30.29052631578778,2.418489785684543,5851.697930933634,601.2837379017699,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,2.418489785684543,14166.407551224216,220563.45318152363,1.767792484600451,0.2203624905174515,352.5519519239,0.015892004537414336
18.559999999999693,-760.0902321063364,5814.191882657524,40.42477962239418,-77.62360867378554,593.7697083713726,-59.50566580827007,30.277894736840413,2.4228638726123943,5863.664759286986,601.7713980127764,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,2.4228638726123943,14154.440722870866,220946.5919886817,1.769202487583689,0.22035446521648588,352.5519519239,0.015892004537414336
18.579999999999693,-761.6427042798122,5826.0672768249515,39.23466630622878,-77.68581575892239,594.2455517833373,-59.59994530267335,30.265263157893045,2.4272530613370535,5875.641201015696,602.2582629275366,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,2.4272530613370535,14142.464281142155,221329.5607116923,1.7706100774244922,0.22034661667003863,352.5519519239,0.015892004537414336
18.599999999999692,-763.1964205949906,5837.952187860618,38.04266740017531,-77.74792211982614,594.7206247209639,-59.69395968044846,30.252631578945678,2.4316573793446743,5887.627240591543,602.7443319391524,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,2.4316573793446743,14130.478241566307,221712.3574155446,1.7720152521599453,0.22033894108761332,352.5519519239,0.015892004537414336
18.619999999999692,-764.7513790373871,5849.8466003550375,36.84878820656634,-77.8099276777322,595.1949265817549,-59.78770854889651,30.23999999999831,2.4360768542245186,5899.622862473921,603.2296043526067,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,2.4360768542245186,14118.482619683931,222094.98017254204,1.7734180098629677,0.22033143475560493,352.5519519239,0.015892004537414336
