rank,score,kp,ki,kd,guidance_gain,guidance_altitude_gain,gamma_final_deg,peak_altitude,downrange,impact_error,final_speed,flight_time,landed,mean_alpha_deg,max_alpha_deg,mean_gimbal_deg,max_gimbal_deg,saturation_ratio,mean_gamma_error_deg
946,5207.3631,4.4,0.45,1.5,0.58,6e-05,78.0,3492.117932,763.692341,36.307659,215.899266,59.960000,1.000000,10.491695,125.155866,0.287197,5.092002,0.000000,0.746525
947,5208.3526,3.6,0.25,1.9,0.66,4e-05,76.0,3418.711134,936.096982,136.096982,214.395986,59.180000,1.000000,9.971023,117.503963,0.310465,4.939061,0.000000,1.014280
948,5208.8479,3.6,0.35,1.9,0.66,4e-05,76.0,3418.704125,936.199180,136.199180,214.396191,59.180000,1.000000,9.970666,117.503606,0.310483,4.939233,0.000000,1.014196
949,5209.0582,4.0,1.0,1.7,0.58,0.0001,78.0,3486.831236,706.961398,93.038602,215.756638,59.900000,1.000000,10.786631,125.554617,0.265941,4.788599,0.000000,0.700331
950,5209.3431,3.6,0.45,1.9,0.66,4e-05,76.0,3418.697115,936.301371,136.301371,214.396395,59.180000,1.000000,9.970309,117.503249,0.310501,4.939405,0.000000,1.014111
951,5209.7699,4.15,0.3,1.82,0.63,5e-05,75.2,3436.758223,678.854685,121.145315,214.629394,59.460000,1.000000,11.234853,116.248813,0.289404,4.300059,0.000000,1.212826
952,5210.0860,3.6,0.6,1.9,0.66,4e-05,76.0,3418.686601,936.454648,136.454648,214.396702,59.180000,1.000000,9.969774,117.502713,0.310528,4.939664,0.000000,1.013985
953,5212.2583,4.0,0.6,1.7,0.66,8e-05,80.0,3573.059615,794.711000,5.289000,217.551122,60.740000,1.000000,9.991652,137.571124,0.272451,5.005228,0.000000,0.421318
954,5212.3619,3.6,0.8,1.5,0.5,4e-05,76.0,3443.532923,686.068426,113.931574,214.777913,59.480000,1.000000,11.031760,118.890090,0.308309,4.732596,0.000000,1.261087
955,5213.5200,4.0,0.4,1.82,0.63,7e-05,75.2,3417.142408,917.500302,117.500302,214.344574,59.220000,1.000000,10.122252,115.675354,0.336322,5.047014,0.000000,0.931543
956,5213.8662,4.0,0.9,1.9,0.58,8e-05,78.0,3490.889521,711.312331,88.687669,215.809717,59.920000,1.000000,10.736814,125.643255,0.281454,4.819656,0.000000,0.755905
957,5214.0351,4.0,0.7,1.7,0.66,8e-05,80.0,3573.120736,794.193748,5.806252,217.549684,60.740000,1.000000,9.994060,137.577746,0.272375,5.004307,0.000000,0.421644
958,5214.2865,4.0,0.7,1.3,0.58,6e-05,74.0,3394.341861,830.000249,30.000249,213.854930,59.020000,1.000000,10.647147,114.971527,0.357985,5.371328,0.000000,1.168019
959,5215.8130,4.0,0.8,1.7,0.66,8e-05,80.0,3573.181881,793.676186,6.323814,217.548245,60.740000,1.000000,9.996471,137.584355,0.272299,5.003386,0.000000,0.421970
960,5215.8728,3.6,0.85,1.82,0.58,9e-05,76.0,3432.899255,675.828915,124.171085,214.539616,59.360000,1.000000,11.153093,117.696600,0.278366,4.281560,0.000000,1.015806
961,5216.2527,4.0,0.35,1.82,0.63,7e-05,75.2,3417.104959,918.070404,118.070404,214.345521,59.220000,1.000000,10.120117,115.673081,0.336452,5.047963,0.000000,0.931082
962,5216.8038,3.6,0.75,1.98,0.61,9e-05,76.8,3440.242588,689.405246,110.594754,214.708423,59.400000,1.000000,11.127626,120.303655,0.315352,4.816834,0.000000,0.841451
963,5217.5558,4.0,0.4,1.82,0.63,6e-05,75.2,3417.164768,917.758724,117.758724,214.344328,59.220000,1.000000,10.121087,115.675354,0.336449,5.047014,0.000000,0.970685
964,5217.5803,3.6,0.85,1.82,0.58,8e-05,76.0,3432.899255,675.828915,124.171085,214.539616,59.360000,1.000000,11.153093,117.696600,0.278366,4.281560,0.000000,1.037150
965,5217.5918,4.0,0.9,1.7,0.66,8e-05,80.0,3573.243051,793.158314,6.841686,217.546805,60.740000,1.000000,9.998885,137.590951,0.272222,5.002464,0.000000,0.422297
966,5218.3162,3.6,0.8,1.98,0.61,9e-05,76.8,3440.273390,688.976621,111.023379,214.707492,59.400000,1.000000,11.130123,120.308386,0.315270,4.816070,0.000000,0.841794
967,5218.5505,3.6,0.75,1.98,0.61,8e-05,76.8,3440.242588,689.405246,110.594754,214.708423,59.400000,1.000000,11.127626,120.303655,0.315352,4.816834,0.000000,0.863286
968,5218.7450,4.15,0.35,1.98,0.63,7e-05,75.2,3416.839727,861.079936,61.079936,214.315264,59.220000,1.000000,10.370359,114.243101,0.315849,5.293451,0.000000,0.960339
969,5218.9847,4.0,0.3,1.82,0.63,7e-05,75.2,3417.067497,918.640326,118.640326,214.346468,59.220000,1.000000,10.117984,115.670804,0.336583,5.048913,0.000000,0.930622
